Engine_ID,DATETIME,Oper_Set_1,Oper_Set_2,Oper_Set_3,Fan_Inlet_Temp,LPC_Outlet_Temp,HPC_Outlet_Temp,LPT_Outlet_Temp,Fan_Inlet_Pressure,Bypass_Duct_Pressure,Total_HPC_Outlet_Pressure,Physical_Fan_Speed,Physical_Core_Speed,Engine_Pressure_Ratio,Static_HPC_Outlet_Pressure,Fuel_Flow_Ratio,Corrected_Fan_Speed,Corrected_Core_Speed,Bypass_Ratio,Burner_Fuel_Air_Ratio,Bleed_Enthalpy,Demanded_Fan_Speed,Demanded_Crrct_Fan_Speed ,HPT_Coolant_Bleed,LPT_Coolant_Bleed
engine1,01JAN2016:08:00:00.000000,10.0047,0.2501,20,489.05,604.13,1499.45,1309.95,10.52,15.49,394.88,2318.87,8770.2,1.26,45.4,372.15,2388.13,8120.83,8.6216,0.03,368,2319,100,28.58,17.1735
engine1,01JAN2016:14:30:00.000000,0.0015,0.0003,100,518.67,642.13,1584.55,1403.96,14.62,21.61,553.67,2388.01,9045.76,1.3,47.29,521.81,2388.15,8132.87,8.3907,0.03,391,2388,100,38.99,23.3619
engine1,01JAN2016:21:00:00.000000,34.9986,0.8401,60,449.44,555.42,1368.17,1122.49,5.48,8,194.93,2222.86,8343.91,1.02,41.92,183.26,2387.95,8063.84,9.3557,0.02,334,2223,100,14.83,8.8555
engine1,02JAN2016:03:30:00.000000,20.0031,0.7005,0,491.19,607.03,1488.44,1249.18,9.35,13.65,334.82,2323.85,8721.53,1.08,44.26,314.84,2388.07,8052.3,9.2231,0.02,364,2324,100,24.42,14.7832
engine1,02JAN2016:10:00:00.000000,42.0041,0.8405,40,445,549.52,1354.48,1124.32,3.91,5.71,138.24,2211.8,8314.56,1.02,41.79,130.44,2387.89,8083.67,9.2986,0.02,330,2212,100,10.99,6.4025
engine1,02JAN2016:16:30:00.000000,20.0032,0.7017,0,491.19,607.37,1480.46,1258.9,9.35,13.65,334.51,2323.94,8711.44,1.08,44.4,315.36,2388.05,8053.17,9.2276,0.02,364,2324,100,24.44,14.7019
engine1,02JAN2016:23:00:00.000000,41.9998,0.84,40,445,549.57,1354.43,1131.44,3.91,5.71,139.11,2211.82,8316.88,1.02,42.09,130.16,2387.88,8082.01,9.3753,0.02,331,2212,100,10.53,6.4254
engine1,03JAN2016:05:30:00.000000,0.0011,0,100,518.67,642.08,1589.55,1407.59,14.62,21.61,553.48,2388.1,9050.35,1.3,47.5,521.74,2388.03,8133.29,8.4339,0.03,391,2388,100,38.98,23.2337
engine1,03JAN2016:12:00:00.000000,0.0011,0.002,100,518.67,642.7,1586.18,1399.01,14.62,21.61,553.9,2388.1,9051.35,1.3,47.3,521.72,2388.08,8132.72,8.3922,0.03,392,2388,100,38.99,23.2412
engine1,03JAN2016:18:30:00.000000,42.0066,0.84,40,445,549.83,1353.19,1125.09,3.91,5.71,138.37,2211.84,8320.04,1.02,41.91,130.32,2387.91,8085.94,9.3667,0.02,330,2212,100,10.75,6.4268
engine1,04JAN2016:01:00:00.000000,25.0051,0.62,80,462.54,537.41,1260.5,1051.56,7.05,9.02,175.86,1915.28,8009.91,0.94,36.66,165.53,2028.24,7866.43,10.8941,0.02,307,1915,84.93,14.28,8.5087
engine1,04JAN2016:07:30:00.000000,35.0029,0.8413,60,449.44,555.85,1360.54,1130.69,5.48,8,195.05,2222.88,8341.87,1.02,41.87,183.41,2387.95,8063.79,9.2878,0.02,335,2223,100,14.69,8.7988
engine1,04JAN2016:14:00:00.000000,42.0029,0.8409,40,445,549.91,1350.9,1123.53,3.91,5.71,139.09,2211.78,8321.2,1.02,42.14,130.6,2387.88,8081.77,9.349,0.02,329,2212,100,10.46,6.3382
engine1,04JAN2016:20:30:00.000000,25.0073,0.6203,80,462.54,537.22,1262.8,1051.01,7.05,9.02,175.35,1915.24,8014.89,0.94,36.88,164.63,2028.14,7870.29,10.916,0.02,306,1915,84.93,14.28,8.5684
engine1,05JAN2016:03:00:00.000000,9.9988,0.25,20,489.05,604.63,1497.87,1302.51,10.52,15.5,394.93,2318.9,8771.08,1.26,45.39,371.84,2388.12,8124.37,8.6496,0.03,369,2319,100,28.84,17.0805
engine1,05JAN2016:09:30:00.000000,9.9987,0.25,20,489.05,604.61,1500.47,1311.39,10.52,15.49,394.44,2318.87,8775.86,1.26,45.52,372.19,2388.08,8127.07,8.6609,0.03,369,2319,100,28.71,17.1759
engine1,05JAN2016:16:00:00.000000,0.0003,0,100,518.67,642.3,1584.57,1410.11,14.62,21.61,554,2388.06,9056.59,1.3,47.44,522.17,2388.1,8133.38,8.434,0.03,392,2388,100,38.81,23.3487
engine1,05JAN2016:22:30:00.000000,10.0066,0.2507,20,489.05,604.23,1502.57,1304.56,10.52,15.49,394.31,2318.93,8778.55,1.26,45.1,372.03,2388.06,8119.39,8.6646,0.03,367,2319,100,28.6,17.1096
engine1,06JAN2016:05:00:00.000000,25.0018,0.62,80,462.54,536.66,1255.21,1053.69,7.05,9.03,174.94,1915.22,8005.22,0.94,36.44,165.27,2028.13,7868.8,10.8969,0.02,308,1915,84.93,14.42,8.5456
engine1,06JAN2016:11:30:00.000000,0.0004,0.0017,100,518.67,642.31,1581.33,1399.44,14.62,21.61,553.41,2388.09,9049.58,1.3,47.38,521.62,2388.06,8132.25,8.4044,0.03,393,2388,100,38.97,23.2494
engine1,06JAN2016:18:00:00.000000,42.003,0.8404,40,445,549.12,1349.16,1117.33,3.91,5.72,138.51,2211.82,8310.18,1.02,41.98,130.48,2387.9,8080.31,9.3488,0.02,330,2212,100,10.54,6.3614
